Quarter,Year,Total Ridership,Heavy Rail,Light Rail,Commuter Rail,Trolleybus,Bus,Demand Response,Other
Q1,1990,2256422.0,606580.0,36898.0,82274.0,,1457932.0,18223.0,
Q2,1990,2163608.0,577237.0,40470.0,84150.0,,1389602.0,17703.0,
Q3,1990,2071195.0,546929.0,41676.0,81481.0,,1325863.0,16614.0,
Q4,1990,2198460.0,567572.0,43093.0,82754.0,,1435452.0,17514.0,
Q1,1991,2068031.0,515379.0,39260.0,79746.0,,1364428.0,17808.0,
Q2,1991,2102904.0,538972.0,41697.0,82707.0,,1354977.0,18816.0,
Q3,1991,2074613.0,483416.0,41199.0,81258.0,,1380271.0,22209.0,
Q4,1991,2179742.0,521703.0,40846.0,81470.0,,1461191.0,23195.0,
Q1,1992,2066881.0,520185.0,40387.0,80021.0,33119.0,1355534.0,20993.0,16642.0
Q2,1992,2104470.0,532252.0,47261.0,81460.0,32923.0,1369722.0,22190.0,18662.0
Q3,1992,2020596.0,525051.0,41588.0,80396.0,31910.0,1299810.0,21348.0,20494.0
Q4,1992,2150678.0,534088.0,40725.0,81310.0,32795.0,1420420.0,23088.0,18250.0
Q1,1993,2036915.0,522077.0,39920.0,80574.0,30576.0,1327930.0,22843.0,12994.0
Q2,1993,2072098.0,555073.0,56045.0,83013.0,30646.0,1327298.0,24583.0,20024.0
Q3,1993,2034321.0,539661.0,57495.0,82949.0,29270.0,1276777.0,24051.0,24117.0
Q4,1993,2137527.0,564093.0,57975.0,84150.0,38433.0,1357099.0,24670.0,19107.0
Q1,1994,2040364.0,507946.0,55794.0,85865.0,29573.0,1325172.0,23004.0,13009.0
Q2,1994,2112812.0,537080.0,57199.0,87720.0,29762.0,1357483.0,22576.0,21001.0
Q3,1994,2017854.0,518895.0,60626.0,87710.0,27911.0,1276585.0,22320.0,23808.0
Q4,1994,2146648.0,556423.0,60940.0,88183.0,29872.0,1368967.0,22603.0,19662.0
Q1,1995,2060557.0,518080.0,55841.0,84717.0,36590.0,1329235.0,23078.0,13016.0
Q2,1995,2049924.0,513022.0,57747.0,88748.0,28621.0,1322441.0,23485.0,15859.0
Q3,1995,1990865.0,494291.0,60045.0,87758.0,27734.0,1292872.0,23733.0,23358.0
Q4,1995,1978074.0,510330.0,65951.0,88942.0,30014.0,1245335.0,19829.0,17675.0
Q1,1996,1978066.0,525285.0,57388.0,88194.0,29104.0,1242887.0,19035.0,16172.0
Q2,1996,2028983.0,548185.0,61639.0,90003.0,28929.0,1260125.0,20035.0,20065.0
Q3,1996,1952046.0,548710.0,65967.0,90334.0,29036.0,1175091.0,19966.0,22943.0
Q4,1996,2001342.0,547079.0,61212.0,91049.0,29762.0,1234582.0,20025.0,17636.0
Q1,1997,2013724.0,575994.0,61505.0,88190.0,29734.0,1220691.0,20221.0,17389.0
Q2,1997,2080060.0,608359.0,65391.0,91271.0,30297.0,1242993.0,21109.0,20639.0
Q3,1997,2072380.0,597759.0,69476.0,92686.0,29038.0,1238660.0,20986.0,23775.0
Q4,1997,2135730.0,622879.0,65717.0,91851.0,30628.0,1277979.0,25016.0,21660.0
Q1,1998,2121097.0,612800.0,65307.0,89935.0,29094.0,1278169.0,25248.0,20543.0
Q2,1998,2146917.0,632615.0,68944.0,93724.0,28914.0,1269665.0,26011.0,24044.0
Q3,1998,2157014.0,630018.0,72054.0,96853.0,28764.0,1275233.0,25805.0,28287.0
Q4,1998,2252983.0,663260.0,73729.0,97197.0,31496.0,1338856.0,25864.0,22580.0
Q1,1999,2233551.0,635143.0,68690.0,94590.0,31083.0,1344218.0,30071.0,29753.0
Q2,1999,2291656.0,614275.0,73267.0,98316.0,32226.0,1421471.0,27092.0,25008.0
Q3,1999,2236397.0,622067.0,72750.0,98632.0,29623.0,1359233.0,25805.0,28287.0
Q4,1999,2322976.0,652829.0,69468.0,99989.0,29388.0,1422856.0,25864.0,22580.0
Q1,2000,2289546.0,644679.0,67967.0,99704.0,30856.0,1399488.0,25916.0,20937.0
Q2,2000,2363735.0,678196.0,76883.0,102508.0,32576.0,1421471.0,27092.0,25008.0
Q3,2000,2305028.0,676460.0,79495.0,104417.0,31332.0,1359233.0,25805.0,28287.0
Q4,2000,2367738.0,687294.0,72672.0,104456.0,32016.0,1422856.0,25864.0,22580.0
Q1,2001,2362727.0,678517.0,74438.0,104032.0,28443.0,1427961.0,27888.0,21447.0
Q2,2001,2431098.0,709583.0,80583.0,105507.0,29001.0,1451629.0,29152.0,25617.0
Q3,2001,2326393.0,669545.0,78855.0,104704.0,29058.0,1387487.0,27768.0,28977.0
Q4,2001,2387024.0,673464.0,76781.0,104202.0,29384.0,1452232.0,27831.0,23130.0
Q1,2002,2310914.0,657356.0,76224.0,99995.0,29362.0,1396870.0,28944.0,22163.0
Q2,2002,2386713.0,693159.0,81526.0,104023.0,29879.0,1421399.0,30351.0,26378.0
Q3,2002,2311419.0,670713.0,82307.0,103290.0,29648.0,1365629.0,29030.0,30802.0
Q4,2002,2377840.0,684927.0,80289.0,103357.0,28014.0,1428078.0,29041.0,24134.0
Q1,2003,2330500.0,649661.0,80790.0,99670.0,27209.0,1421423.0,27271.0,24476.0
Q2,2003,2364457.0,675719.0,85492.0,102762.0,27997.0,1416541.0,28569.0,27377.0
Q3,2003,2319708.0,655022.0,87449.0,103449.0,26087.0,1389102.0,28241.0,30358.0
Q4,2003,2314116.0,672788.0,75529.0,102853.0,27619.0,1381450.0,28143.0,25732.0
Q1,2004,2366098.0,647551.0,79128.0,100523.0,27045.0,1458351.0,28241.0,25259.0
Q2,2004,2397742.0,683805.0,85042.0,103768.0,26326.0,1440952.0,29073.0,28774.0
Q3,2004,2370280.0,664237.0,89817.0,103269.0,27292.0,1425792.0,28680.0,31193.0
Q4,2004,2452284.0,686121.0,88307.0,104122.0,25929.0,1491322.0,28928.0,27555.0
Q1,2005,2377845.0,672804.0,83869.0,100676.0,25638.0,1439449.0,29266.0,26144.0
Q2,2005,2478458.0,715914.0,90637.0,105757.0,26054.0,1481285.0,30331.0,28481.0
Q3,2005,2484686.0,701091.0,96165.0,107587.0,27675.0,1490731.0,29626.0,31813.0
Q4,2005,2464767.0,684776.0,91758.0,107882.0,26204.0,1497066.0,29505.0,27577.0
Q1,2006,2475989.0,701720.0,96834.0,104352.0,24751.0,1488412.0,31581.0,28339.0
Q2,2006,2514377.0,739339.0,102348.0,109590.0,27607.0,1471629.0,32201.0,31664.0
Q3,2006,2493465.0,722249.0,104277.0,111006.0,26114.0,1464477.0,31759.0,33583.0
Q4,2006,2562596.0,745641.0,103521.0,111832.0,24535.0,1515813.0,31859.0,29395.0
Q1,2007,2491012.0,824461.0,98683.0,108920.0,23438.0,1340128.0,51698.0,43684.0
Q2,2007,2589597.0,875944.0,106708.0,114179.0,26713.0,1363726.0,53362.0,48965.0
Q3,2007,2564062.0,860560.0,113297.0,115328.0,27080.0,1342502.0,52542.0,52754.0
Q4,2007,2625918.0,889464.0,111077.0,116691.0,25636.0,1382966.0,53049.0,47035.0
Q1,2008,2551569.0,861349.0,106227.0,115147.0,24866.0,1356508.0,46762.0,40710.0
Q2,2008,2689619.0,913754.0,117245.0,120193.0,26516.0,1415756.0,49019.0,47136.0
Q3,2008,2710142.0,905235.0,123584.0,122666.0,28808.0,1428223.0,48875.0,52752.0
Q4,2008,2646601.0,890488.0,115066.0,117733.0,26125.0,1404958.0,48927.0,43306.0
Q1,2009,2541289.0,845884.0,110569.0,111672.0,24435.0,1355123.0,46647.0,46960.0
Q2,2009,2594093.0,887132.0,113433.0,114300.0,25647.0,1351244.0,48076.0,54262.0
Q3,2009,2558847.0,867890.0,118183.0,113841.0,25123.0,1325955.0,47485.0,60372.0
Q4,2009,2563660.0,876064.0,114932.0,112066.0,24720.0,1338559.0,47226.0,50092.0
Q1,2010,2476979.0,833991.0,112337.0,109741.0,24901.0,1304544.0,46331.0,45134.0
Q2,2010,2589057.0,907602.0,117224.0,115440.0,25051.0,1321850.0,48663.0,53228.0
Q3,2010,2538958.0,884022.0,118863.0,114380.0,25013.0,1292348.0,47720.0,56611.0
Q4,2010,2567358.0,905024.0,116554.0,113230.0,24099.0,1312736.0,47789.0,47926.0
Q1,2011,2512001.0,873427.0,115655.0,110305.0,24562.0,1298473.0,46574.0,43006.0
Q2,2011,2624985.0,934494.0,123420.0,117496.0,24774.0,1324371.0,48972.0,51459.0
Q3,2011,2580465.0,902253.0,125865.0,117193.0,24277.0,1305644.0,47978.0,57254.0
Q4,2011,2644319.0,938156.0,123563.0,119043.0,23786.0,1344435.0,48132.0,47203.0
Q1,2012,2643015.0,921554.0,123558.0,114438.0,22913.0,1364993.0,53268.0,42290.0
Q2,2012,2671522.0,958394.0,130550.0,119441.0,23740.0,1336462.0,53952.0,48983.0
Q3,2012,2617476.0,927057.0,129096.0,119430.0,23558.0,1312650.0,52144.0,53542.0
Q4,2012,2605175.0,895566.0,126819.0,113125.0,23757.0,1348946.0,51846.0,45117.0
Q1,2013,2592294.0,906618.0,123020.0,113425.0,23283.0,1329903.0,54750.0,41296.0
Q2,2013,2698451.0,979771.0,131139.0,120473.0,24435.0,1337543.0,56954.0,48136.0
Q3,2013,2660350.0,949932.0,133233.0,121568.0,24779.0,1321183.0,56861.0,52795.0
Q4,2013,2700974.0,972459.0,131143.0,120573.0,23211.0,1351939.0,56577.0,45071.0
Q1,2014,2572305.0,923566.0,123815.0,114989.0,22740.0,1289492.0,55604.0,42098.0
Q2,2014,2729424.0,1012098.0,133465.0,124505.0,23918.0,1326832.0,59535.0,49071.0
Q3,2014,2706849.0,994569.0,137344.0,126163.0,23983.0,1310967.0,59246.0,54577.0
Q4,2014,2727590.0,1009026.0,133854.0,124753.0,22973.0,1331702.0,58838.0,46445.0
Q1,2015,2564363.0,928550.0,124428.0,115344.0,21652.0,1277486.0,53765.0,43138.0
Q2,2015,2697750.0,1015234.0,131462.0,123952.0,22108.0,1297498.0,56921.0,50576.0
Q3,2015,2671752.0,990893.0,136809.0,126572.0,21557.0,1283587.0,56382.0,55952.0
Q4,2015,2693066.0,1010891.0,135333.0,124005.0,21395.0,1298576.0,56041.0,46826.0
Q1,2016,2581519.0,954021.0,129998.0,118443.0,23736.0,1260104.0,52262.0,42956.0
Q2,2016,2644957.0,1000979.0,139745.0,126086.0,22055.0,1253289.0,53673.0,49130.0
Q3,2016,2598388.0,968259.0,140828.0,126937.0,21454.0,1234299.0,52858.0,53752.0
Q4,2016,2583028.0,970509.0,137435.0,125573.0,20540.0,1231932.0,52039.0,45000.0
Q1,2017,2496395.0,931040.0,133650.0,120348.0,20325.0,1198305.0,51036.0,41690.0
Q2,2017,2569443.0,987582.0,137555.0,125486.0,21242.0,1195562.0,52607.0,49409.0
Q3,2017,2498636.0,939136.0,138167.0,125717.0,20956.0,1169820.0,52001.0,52840.0
Q4,2017,2526237.0,955801.0,132902.0,125522.0,20507.0,1194916.0,51809.0,44780.0
Q1,2018,2416279.0,901386.0,126690.0,119895.0,19598.0,1158604.0,49517.0,40588.0
Q2,2018,2527256.0,956916.0,133596.0,126224.0,20020.0,1189910.0,52393.0,48197.0
Q3,2018,2461247.0,916002.0,134175.0,126603.0,19976.0,1160694.0,51606.0,52192.0
Q4,2018,2511260.0,938154.0,132521.0,126341.0,20075.0,1197132.0,51993.0,45045.0
Q1,2019,2361673.0,872468.0,123630.0,120846.0,20159.0,1133805.0,48951.0,41814.0
Q2,2019,2524971.0,971430.0,128751.0,129687.0,20355.0,1173954.0,50991.0,49803.0
Q3,2019,2511983.0,964336.0,128174.0,130970.0,20571.0,1165382.0,51107.0,51443.0
Q4,2019,2524660.0,989662.0,124615.0,128941.0,20383.0,1164974.0,51334.0,44752.0
Q1,2020,2158172.0,797122.0,112616.0,105762.0,11053.0,1047871.0,44770.0,38978.0
Q2,2020,620925.0,122249.0,33137.0,13521.0,3395.0,420578.0,16907.0,11140.0
Q3,2020,957473.0,261871.0,42311.0,27386.0,5613.0,577765.0,24665.0,17863.0
Q4,2020,973157.0,302560.0,42428.0,29022.0,7060.0,549393.0,26499.0,16194.0
Q1,2021,916887.0,289583.0,41071.0,26219.0,7048.0,514683.0,23619.0,14663.0
Q2,2021,1136799.0,394205.0,50091.0,38648.0,8804.0,596055.0,27872.0,21124.0
Q3,2021,1323072.0,464128.0,61386.0,52085.0,10821.0,678349.0,29946.0,26357.0
Q4,2021,1431337.0,520936.0,67662.0,58398.0,11186.0,720035.0,30200.0,22921.0
Q1,2022,1343498.0,479875.0,67014.0,51514.0,10673.0,681922.0,30189.0,22311.0
Q2,2022,1557723.0,583218.0,77249.0,67611.0,11646.0,753406.0,34325.0,30267.0
Q3,2022,1614080.0,584105.0,79078.0,72529.0,12731.0,797014.0,35694.0,32930.0
Q4,2022,1679993.0,631254.0,78908.0,74758.0,12819.0,818236.0,36094.0,27925.0
Q1,2023,1691065.0,607054.0,79346.0,72100.0,13281.0,854322.0,37568.0,27395.0
Q2,2023,1797425.0,659605.0,86065.0,79826.0,13813.0,884025.0,39306.0,34785.0
Q3,2023,1817498.0,655240.9,89920.0,81152.0,15561.0,899692.0,39811.0,36121.0
